epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1695,103.515,4.29159,2.66785,0.04871,0.24003,0.03999,0.01001,30.9174,3.21072,2.54728,3.31481e-05,3.31481e-05,0.066885
2,73.0865,40.0273,2.85592,2.60229,0.06276,0.30924,0.06087,0.01605,26.324,2.35834,2.60879,6.64774e-05,6.64774e-05,0.033585
3,109.561,30.7723,2.3892,2.62084,0.40145,0.39762,0.10272,0.03707,20.3649,2.08388,2.53264,9.97904e-05,9.97904e-05,0.000284976
4,146.231,26.402,2.19409,2.58904,0.30569,0.47475,0.15415,0.06436,17.5115,1.97111,2.50336,9.9945e-05,9.9945e-05,9.9945e-05
5,182.606,22.795,2.10738,2.55952,0.30011,0.59275,0.23226,0.10251,15.4422,1.83052,2.50979,9.99023e-05,9.99023e-05,9.99023e-05
6,218.695,20.8666,2.00778,2.54025,0.31797,0.72068,0.30549,0.14617,13.4485,1.73589,2.48304,9.98474e-05,9.98474e-05,9.98474e-05
7,254.717,18.0585,1.89784,2.52987,0.3438,0.80738,0.37005,0.16933,11.8795,1.64582,2.459,9.97803e-05,9.97803e-05,9.97803e-05
8,290.706,16.659,1.82596,2.50815,0.38737,0.83575,0.4146,0.21539,10.8873,1.57827,2.45118,9.97011e-05,9.97011e-05,9.97011e-05
9,326.556,15.5082,1.74723,2.48164,0.4314,0.83032,0.45344,0.24095,9.95913,1.5183,2.44346,9.96097e-05,9.96097e-05,9.96097e-05
10,362.808,14.3176,1.67602,2.46523,0.45731,0.84045,0.47701,0.26582,8.89293,1.43248,2.41587,9.95062e-05,9.95062e-05,9.95062e-05
11,399.137,12.6953,1.60808,2.45987,0.46648,0.88251,0.50269,0.29417,8.39046,1.38319,2.39538,9.93906e-05,9.93906e-05,9.93906e-05
12,435.533,12.6769,1.58065,2.40869,0.47561,0.90076,0.50808,0.3079,7.65919,1.35691,2.38271,9.92629e-05,9.92629e-05,9.92629e-05
13,466.85,11.8904,1.53921,2.36165,0.48518,0.94023,0.53115,0.33081,7.01533,1.32352,2.35449,9.91232e-05,9.91232e-05,9.91232e-05
14,493.728,11.3444,1.51338,2.35643,0.4916,0.94555,0.54028,0.35161,6.84027,1.30302,2.32592,9.89715e-05,9.89715e-05,9.89715e-05
15,520.413,10.4765,1.47011,2.32662,0.49278,0.94956,0.53609,0.35006,6.33547,1.29458,2.30064,9.88079e-05,9.88079e-05,9.88079e-05
16,547.019,10.035,1.44587,2.30083,0.49485,0.96206,0.53553,0.35896,5.96757,1.27917,2.27136,9.86323e-05,9.86323e-05,9.86323e-05
17,573.719,9.62131,1.42273,2.27004,0.49573,0.96713,0.54093,0.36896,5.90784,1.27146,2.26028,9.84449e-05,9.84449e-05,9.84449e-05
18,600.33,9.32107,1.41088,2.26028,0.49669,0.96914,0.54366,0.37353,5.45639,1.26425,2.23054,9.82456e-05,9.82456e-05,9.82456e-05
19,627.085,8.97161,1.397,2.2364,0.4978,0.97063,0.54802,0.37486,5.35208,1.25434,2.22382,9.80345e-05,9.80345e-05,9.80345e-05
20,653.846,8.78118,1.39071,2.22172,0.49822,0.97206,0.55366,0.38012,5.09891,1.24736,2.21046,9.78118e-05,9.78118e-05,9.78118e-05
21,680.693,8.3536,1.37637,2.19457,0.49853,0.97637,0.56291,0.39425,4.70109,1.23935,2.17339,9.75773e-05,9.75773e-05,9.75773e-05
22,707.366,8.10163,1.36256,2.17972,0.49783,0.97597,0.57117,0.37942,5.02349,1.23595,2.19352,9.73312e-05,9.73312e-05,9.73312e-05
23,734.154,7.69324,1.34961,2.15086,0.49738,0.98087,0.57099,0.40162,4.45801,1.2347,2.15855,9.70736e-05,9.70736e-05,9.70736e-05
24,761.036,7.85609,1.34699,2.14706,0.49745,0.97887,0.58251,0.39619,4.40076,1.22099,2.1486,9.68045e-05,9.68045e-05,9.68045e-05
25,787.745,7.25429,1.33966,2.14367,0.49849,0.98095,0.58437,0.41433,4.05505,1.20898,2.11782,9.65239e-05,9.65239e-05,9.65239e-05
26,814.514,7.28109,1.32571,2.12215,0.49909,0.97993,0.5895,0.41377,4.13377,1.20532,2.12458,9.6232e-05,9.6232e-05,9.6232e-05
27,841.217,6.99949,1.32369,2.10061,0.49956,0.97884,0.59623,0.41141,3.96053,1.19917,2.11553,9.59289e-05,9.59289e-05,9.59289e-05
28,867.877,6.89283,1.30764,2.07865,0.49898,0.98165,0.59954,0.42433,3.85221,1.20628,2.10682,9.56145e-05,9.56145e-05,9.56145e-05
29,894.601,6.54293,1.29916,2.0835,0.50215,0.97794,0.61506,0.43314,3.54841,1.18161,2.08822,9.52889e-05,9.52889e-05,9.52889e-05
30,921.353,6.509,1.29446,2.05773,0.50124,0.978,0.62905,0.44832,3.46932,1.17712,2.08258,9.49524e-05,9.49524e-05,9.49524e-05
31,948.027,6.29614,1.28699,2.06476,0.50138,0.97375,0.64162,0.44256,3.52605,1.1748,2.08364,9.46048e-05,9.46048e-05,9.46048e-05
32,974.77,5.92868,1.27525,2.05388,0.50656,0.96554,0.65427,0.46376,3.22713,1.16266,2.06311,9.42464e-05,9.42464e-05,9.42464e-05
33,1001.53,5.94186,1.26739,2.01336,0.50536,0.96606,0.65419,0.46832,2.97798,1.15157,2.04947,9.38772e-05,9.38772e-05,9.38772e-05
