epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.66302,352.019,4.07632,3.86787,0,0,0,0,60.2145,3.7407,3.18302,3.18841e-05,3.18841e-05,0.0681478
2,8.99999,68.6127,2.84524,3.40875,0.02886,0.14737,0.01236,0.00349,25.675,3.07557,3.12629,6.52134e-05,6.52134e-05,0.0348478
3,13.4344,37.7525,2.36959,3.13985,0.04629,0.23638,0.04956,0.01616,25.65,2.921,3.07323,9.85267e-05,9.85267e-05,0.0015478
4,17.7013,35.5784,2.17463,2.96004,0.22515,0.27414,0.07106,0.02441,25.9815,2.79667,3.00714,9.9945e-05,9.9945e-05,9.9945e-05
5,21.7712,30.7408,1.92376,2.91865,0.24206,0.4313,0.13938,0.0573,25.036,2.42641,2.87758,9.99023e-05,9.99023e-05,9.99023e-05
6,25.9993,28.9054,1.77531,2.84021,0.25695,0.60155,0.22637,0.08194,22.8931,1.84836,2.76221,9.98474e-05,9.98474e-05,9.98474e-05
7,30.0047,26.0202,1.64675,2.7698,0.29694,0.67961,0.27201,0.0837,20.4861,1.60839,2.72096,9.97803e-05,9.97803e-05,9.97803e-05
8,33.9396,22.0536,1.57912,2.75899,0.34036,0.72119,0.33113,0.12305,15.3998,1.46159,2.72551,9.97011e-05,9.97011e-05,9.97011e-05
9,38.1469,20.2629,1.50352,2.70426,0.38473,0.77528,0.38529,0.16514,12.628,1.4213,2.72194,9.96097e-05,9.96097e-05,9.96097e-05
10,42.2628,16.6451,1.44844,2.74966,0.42255,0.80139,0.41979,0.18353,12.2058,1.41442,2.65858,9.95062e-05,9.95062e-05,9.95062e-05
11,46.3696,14.5415,1.42827,2.70642,0.43874,0.83793,0.44396,0.19736,10.7316,1.37821,2.63586,9.93906e-05,9.93906e-05,9.93906e-05
12,50.6751,14.7809,1.407,2.65433,0.43505,0.87553,0.45462,0.25045,7.83858,1.32912,2.69753,9.92629e-05,9.92629e-05,9.92629e-05
13,54.88,13.8782,1.38032,2.6482,0.4634,0.89417,0.47935,0.27914,7.05494,1.29652,2.64933,9.91232e-05,9.91232e-05,9.91232e-05
14,59.2808,12.9621,1.38447,2.61305,0.4727,0.918,0.48497,0.28215,6.59721,1.31335,2.60195,9.89715e-05,9.89715e-05,9.89715e-05
15,63.4749,10.6144,1.35219,2.62375,0.4739,0.93188,0.4951,0.24607,6.79176,1.35394,2.55363,9.88079e-05,9.88079e-05,9.88079e-05
16,67.5245,10.4379,1.32393,2.57225,0.48266,0.94743,0.50388,0.28437,5.73974,1.32414,2.53046,9.86323e-05,9.86323e-05,9.86323e-05
17,71.6087,9.28984,1.30655,2.546,0.48889,0.96518,0.50862,0.32908,4.88835,1.25272,2.51217,9.84449e-05,9.84449e-05,9.84449e-05
18,75.8938,9.17775,1.29409,2.50452,0.49288,0.97074,0.51563,0.33043,4.60406,1.22577,2.47242,9.82456e-05,9.82456e-05,9.82456e-05
19,80.2209,9.19375,1.2821,2.48813,0.49431,0.9725,0.51987,0.35195,4.24461,1.1986,2.46988,9.80345e-05,9.80345e-05,9.80345e-05
20,84.4246,8.6922,1.2697,2.43685,0.49446,0.97334,0.52469,0.35949,4.06724,1.19434,2.44418,9.78118e-05,9.78118e-05,9.78118e-05
21,88.365,8.15087,1.2678,2.43028,0.49298,0.97888,0.52487,0.368,3.86261,1.20427,2.40989,9.75773e-05,9.75773e-05,9.75773e-05
22,92.3678,7.80792,1.24767,2.42306,0.49293,0.97446,0.52598,0.36927,3.59946,1.20224,2.38714,9.73312e-05,9.73312e-05,9.73312e-05
23,96.3372,7.33519,1.2449,2.34094,0.49226,0.97666,0.52774,0.36984,3.53896,1.20519,2.36395,9.70736e-05,9.70736e-05,9.70736e-05
24,100.398,7.40998,1.24115,2.37089,0.49268,0.97986,0.53342,0.38363,3.32196,1.18595,2.36564,9.68045e-05,9.68045e-05,9.68045e-05
25,104.511,6.3472,1.21946,2.34347,0.4949,0.98023,0.5373,0.388,3.32323,1.18911,2.32131,9.65239e-05,9.65239e-05,9.65239e-05
26,108.828,6.5971,1.21777,2.31327,0.49332,0.98334,0.53732,0.39319,3.11651,1.1679,2.32926,9.6232e-05,9.6232e-05,9.6232e-05
27,113.107,6.31557,1.20319,2.28351,0.49446,0.98366,0.54426,0.4003,3.01498,1.16247,2.28189,9.59289e-05,9.59289e-05,9.59289e-05
28,117.403,5.90177,1.20002,2.27031,0.49595,0.98406,0.5461,0.40936,2.85634,1.15349,2.28102,9.56145e-05,9.56145e-05,9.56145e-05
29,123.049,5.74839,1.18472,2.26393,0.49574,0.98718,0.55126,0.40413,2.80858,1.13394,2.26876,9.52889e-05,9.52889e-05,9.52889e-05
30,128.686,5.74137,1.18696,2.2264,0.49878,0.98518,0.55591,0.42456,2.65165,1.12721,2.23594,9.49524e-05,9.49524e-05,9.49524e-05
31,134.432,5.31303,1.17786,2.22195,0.49796,0.98859,0.56114,0.42955,2.58099,1.11885,2.21628,9.46048e-05,9.46048e-05,9.46048e-05
32,140.143,5.06538,1.1719,2.18921,0.49879,0.98668,0.56005,0.42874,2.49826,1.12523,2.20397,9.42464e-05,9.42464e-05,9.42464e-05
33,145.644,5.37013,1.18095,2.16911,0.49719,0.98868,0.56556,0.43251,2.41,1.12854,2.18773,9.38772e-05,9.38772e-05,9.38772e-05
34,151.17,4.81199,1.15226,2.16285,0.4973,0.98813,0.56835,0.43266,2.26599,1.10783,2.18695,9.34973e-05,9.34973e-05,9.34973e-05
35,156.686,4.64469,1.1579,2.15075,0.49709,0.98718,0.5693,0.44072,2.20204,1.11013,2.15314,9.31067e-05,9.31067e-05,9.31067e-05
36,162.255,4.70656,1.15322,2.11251,0.49673,0.98865,0.57275,0.44414,2.15565,1.10801,2.14439,9.27057e-05,9.27057e-05,9.27057e-05
37,167.733,4.56698,1.1569,2.12083,0.49923,0.9881,0.57254,0.44416,2.06736,1.07729,2.13396,9.22942e-05,9.22942e-05,9.22942e-05
38,173.32,4.32461,1.13656,2.08414,0.49992,0.98916,0.57046,0.44142,2.01907,1.05611,2.11237,9.18725e-05,9.18725e-05,9.18725e-05
39,178.6,4.53158,1.14407,2.06519,0.49874,0.9878,0.57313,0.43889,1.99241,1.0634,2.1053,9.14405e-05,9.14405e-05,9.14405e-05
40,183.972,4.45376,1.13899,2.0368,0.49864,0.9877,0.57664,0.43417,2.07065,1.08035,2.09305,9.09984e-05,9.09984e-05,9.09984e-05
41,189.409,3.92163,1.12789,2.07518,0.49626,0.99034,0.58709,0.45699,1.89828,1.07483,2.07302,9.05463e-05,9.05463e-05,9.05463e-05
42,194.883,4.11988,1.12886,2.03763,0.49875,0.98815,0.58489,0.46108,1.88829,1.06818,2.04825,9.00844e-05,9.00844e-05,9.00844e-05
43,200.264,3.98771,1.12655,2.0056,0.49998,0.9868,0.58264,0.45549,1.85731,1.05348,2.03586,8.96127e-05,8.96127e-05,8.96127e-05
44,205.639,3.9215,1.12249,1.98965,0.49837,0.98534,0.58881,0.46198,1.78051,1.05515,2.03662,8.91313e-05,8.91313e-05,8.91313e-05
