epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.1136,338.267,4.20706,3.80691,0,0,0,0,47.0852,3.75854,3.04798,3.18841e-05,3.18841e-05,0.0681478
2,13.2794,58.9342,3.11397,3.12898,0.0285,0.14543,0.00859,0.00175,24.5648,3.22018,2.8721,6.52134e-05,6.52134e-05,0.0348478
3,19.4303,34.6123,2.66503,2.95793,0.047,0.24003,0.04366,0.00944,24.5947,3.09851,2.85779,9.85267e-05,9.85267e-05,0.0015478
4,25.3257,32.3577,2.53814,2.83916,0.17831,0.32179,0.06661,0.01503,24.8576,3.04608,2.78876,9.9945e-05,9.9945e-05,9.9945e-05
5,30.8062,28.5882,2.37897,2.85868,0.19429,0.40397,0.09453,0.02283,23.0384,2.834,2.69957,9.99023e-05,9.99023e-05,9.99023e-05
6,36.7089,27.4488,2.19097,2.81687,0.2416,0.53891,0.17042,0.04693,19.9507,2.39597,2.64408,9.98474e-05,9.98474e-05,9.98474e-05
7,42.2533,25.2317,2.02764,2.75448,0.25578,0.58955,0.19905,0.05971,18.4937,2.03758,2.62385,9.97803e-05,9.97803e-05,9.97803e-05
8,47.7329,22.4311,1.91392,2.73826,0.28848,0.66812,0.25648,0.08162,16.7878,1.66554,2.59833,9.97011e-05,9.97011e-05,9.97011e-05
9,53.6143,21.4264,1.79751,2.65788,0.33539,0.68922,0.31305,0.11911,13.4143,1.50359,2.65039,9.96097e-05,9.96097e-05,9.96097e-05
10,59.4532,18.0251,1.70592,2.71904,0.37437,0.7592,0.38156,0.16332,11.3496,1.43578,2.6485,9.95062e-05,9.95062e-05,9.95062e-05
11,65.2645,15.6355,1.61434,2.68923,0.40926,0.82045,0.42418,0.17483,10.626,1.41783,2.60405,9.93906e-05,9.93906e-05,9.93906e-05
12,71.1365,15.6989,1.55796,2.61455,0.40526,0.84724,0.42209,0.21102,8.71872,1.36953,2.65108,9.92629e-05,9.92629e-05,9.92629e-05
13,76.9604,14.824,1.53413,2.59311,0.42296,0.85961,0.44202,0.23819,7.96067,1.36784,2.64696,9.91232e-05,9.91232e-05,9.91232e-05
14,82.988,13.9572,1.49644,2.55546,0.43541,0.86116,0.45878,0.24379,7.49979,1.3881,2.595,9.89715e-05,9.89715e-05,9.89715e-05
15,88.8667,11.5602,1.43374,2.57536,0.45257,0.91018,0.48006,0.23977,7.52592,1.422,2.52275,9.88079e-05,9.88079e-05,9.88079e-05
