epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5274,18.0868,3.47962,1.20067,0.07119,0.36357,0.08841,0.02149,14.1433,2.91702,1.05946,3.18841e-05,3.18841e-05,0.0681478
2,4.31671,9.39499,2.36002,1.03205,0.09262,0.47301,0.1927,0.06671,14.6991,2.22379,1.02882,6.52134e-05,6.52134e-05,0.0348478
3,6.25014,8.67287,1.86449,1.0034,0.28329,0.50048,0.23123,0.11497,10.4582,1.95906,0.97029,9.85267e-05,9.85267e-05,0.0015478
4,8.96663,8.50848,1.6956,0.98556,0.35999,0.73403,0.36244,0.20272,8.16022,1.74167,0.95268,9.9945e-05,9.9945e-05,9.9945e-05
5,12.0556,8.03555,1.58494,0.97735,0.413,0.88488,0.44865,0.28448,6.62332,1.5222,0.931,9.99023e-05,9.99023e-05,9.99023e-05
6,15.1551,8.24137,1.50365,0.96462,0.45535,0.91649,0.4808,0.32613,5.8134,1.36636,0.92296,9.98474e-05,9.98474e-05,9.98474e-05
7,18.2322,7.95935,1.42364,0.95258,0.46848,0.93128,0.48954,0.34221,5.42486,1.30207,0.91952,9.97803e-05,9.97803e-05,9.97803e-05
8,21.2814,7.34806,1.37688,0.94613,0.47688,0.94701,0.4969,0.35472,5.19313,1.27167,0.91229,9.97011e-05,9.97011e-05,9.97011e-05
9,24.352,7.53472,1.3393,0.93812,0.4811,0.95496,0.50314,0.36432,5.01859,1.24482,0.90564,9.96097e-05,9.96097e-05,9.96097e-05
10,27.4022,6.92964,1.31894,0.93715,0.48499,0.96315,0.50722,0.37202,4.92187,1.23062,0.9021,9.95062e-05,9.95062e-05,9.95062e-05
11,30.4663,6.56816,1.2866,0.93509,0.48625,0.96544,0.50798,0.37651,4.83251,1.22613,0.89967,9.93906e-05,9.93906e-05,9.93906e-05
12,33.4916,6.98266,1.2719,0.92559,0.48734,0.96589,0.51155,0.3721,4.67484,1.21401,0.89423,9.92629e-05,9.92629e-05,9.92629e-05
13,36.5473,6.91767,1.26135,0.91986,0.48718,0.96822,0.51326,0.33631,5.46747,1.22887,0.90557,9.91232e-05,9.91232e-05,9.91232e-05
14,39.6108,6.74836,1.25015,0.91731,0.48809,0.97217,0.51526,0.37881,4.50477,1.19377,0.89205,9.89715e-05,9.89715e-05,9.89715e-05
15,42.6432,6.18691,1.22529,0.91886,0.48899,0.97207,0.51633,0.37694,4.59731,1.19828,0.89276,9.88079e-05,9.88079e-05,9.88079e-05
16,45.7265,6.30281,1.22476,0.91829,0.48874,0.97052,0.51613,0.38824,4.13114,1.18605,0.88536,9.86323e-05,9.86323e-05,9.86323e-05
17,48.726,5.89021,1.20997,0.91363,0.48851,0.97497,0.5183,0.36525,4.50617,1.19122,0.88723,9.84449e-05,9.84449e-05,9.84449e-05
18,51.8013,5.898,1.20331,0.90985,0.48912,0.97661,0.51864,0.39603,3.86178,1.15844,0.87575,9.82456e-05,9.82456e-05,9.82456e-05
19,54.8925,6.00767,1.20274,0.90923,0.48857,0.97189,0.51987,0.39422,3.8132,1.15759,0.87974,9.80345e-05,9.80345e-05,9.80345e-05
20,57.9173,5.90492,1.18922,0.90461,0.49051,0.97305,0.52318,0.38555,3.80885,1.15959,0.87992,9.78118e-05,9.78118e-05,9.78118e-05
21,61.0029,5.59136,1.18004,0.90352,0.48949,0.97637,0.52394,0.40163,3.55483,1.14986,0.87113,9.75773e-05,9.75773e-05,9.75773e-05
22,64.077,5.51513,1.17301,0.90241,0.49046,0.97685,0.52784,0.40396,3.47895,1.14043,0.87508,9.73312e-05,9.73312e-05,9.73312e-05
23,67.1156,5.37039,1.16143,0.8979,0.49014,0.97406,0.53151,0.3994,3.51317,1.13929,0.87505,9.70736e-05,9.70736e-05,9.70736e-05
24,70.2735,5.52107,1.16527,0.89921,0.48979,0.97525,0.53485,0.39606,3.56104,1.13965,0.87334,9.68045e-05,9.68045e-05,9.68045e-05
25,73.3296,4.96239,1.14274,0.89622,0.49096,0.97662,0.53644,0.41504,3.23411,1.12311,0.87149,9.65239e-05,9.65239e-05,9.65239e-05
