epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.31202,1120.95,30.5598,3.82389,0,0,0,0,1715.24,6.12003,3.37229,3.18841e-05,3.18841e-05,0.0681478
2,7.92097,93.9875,4.21968,3.13409,0,0,0,0,79.3855,4.32275,2.8618,6.52134e-05,6.52134e-05,0.0348478
3,11.6193,75.8049,3.86546,2.91225,0,0,0,0,73.6365,4.31979,2.83276,9.85267e-05,9.85267e-05,0.0015478
4,15.2739,74.8477,3.64704,2.87319,0,0,0,0,87.9784,4.40212,2.85518,9.9945e-05,9.9945e-05,9.9945e-05
5,18.8182,67.1416,3.48339,2.8476,0.00418,0.00509,0.00125,0.00025,84.914,4.15645,2.77575,9.99023e-05,9.99023e-05,9.99023e-05
6,22.584,65.676,3.33344,2.82895,0.11121,0.27087,0.04475,0.0111,65.3019,3.49766,2.70519,9.98474e-05,9.98474e-05,9.98474e-05
7,26.2985,63.9563,3.17496,2.74645,0.12984,0.31696,0.05879,0.01769,60.1098,3.11051,2.61928,9.97803e-05,9.97803e-05,9.97803e-05
8,30.1557,58.8138,3.0795,2.7427,0.14416,0.35228,0.07981,0.02809,53.8921,2.74249,2.53582,9.97011e-05,9.97011e-05,9.97011e-05
9,34.253,57.0827,2.96754,2.64803,0.16022,0.39371,0.10798,0.03996,48.516,2.51855,2.49199,9.96097e-05,9.96097e-05,9.96097e-05
10,38.0977,51.4218,2.91035,2.66456,0.17117,0.4198,0.12332,0.04753,44.4949,2.34819,2.47785,9.95062e-05,9.95062e-05,9.95062e-05
11,41.7965,47.0332,2.81506,2.63757,0.19068,0.39891,0.13023,0.04929,41.8799,2.23569,2.48454,9.93906e-05,9.93906e-05,9.93906e-05
12,45.708,47.4026,2.74016,2.58833,0.21241,0.38566,0.1353,0.05068,38.5381,2.1252,2.50267,9.92629e-05,9.92629e-05,9.92629e-05
